# CVS $Revision: $ $Author: $ -- Tue Oct 17 19:43:58 2017 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Pathfinder Player Companion: Alchemy Manual	SOURCESHORT:AM	SOURCEWEB:http://paizo.com/products/btpy90bj	SOURCEDATE:2014-04

# Equipment Name				Type
Cytillesh Spores.MOD			TYPE:PFSNotLegal
Fungal Eyes.MOD				TYPE:PFSNotLegal
Ginger Extract.MOD			TYPE:PFSNotLegal
Incense of Divinity.MOD			TYPE:PFSNotLegal
Mugwort Extract.MOD			TYPE:PFSNotLegal
Poison (Cytillesh Extract).MOD	TYPE:PFSNotLegal
Poison (Fury Gas).MOD			TYPE:PFSNotLegal
Reaching Vines.MOD			TYPE:PFSNotLegal
Shaman's Paint.MOD			TYPE:PFSNotLegal
Surge Syrup.MOD				TYPE:PFSNotLegal
